Comments,Class0,Class1,Class2,Class3,Class4,Class5
খালেদা হল পাকিস্তানের জংগি জামাত রাজাকারের যৌনদাসী শালী নোয়াখালী তে হিন্দু মেরেছে শুয়োরের বাচ্চা,1,0,0,0,0,0
শারীরিক গঠনের দিক থেকে নারী ও পুরুষের মধ্যে বিস্তর ব্যবধান রয়েছে,0,0,0,0,0,1
এই মাগি কে কুত্তা দিয়ে চোদানো উচিত,0,0,0,1,0,0
আপনার বাপ ওইদিন আপনার মায়ের সাথে প্রটেকশন ব্যবহার করলে আজ এই পোস্ট দেখতে হতো না,0,0,0,0,1,0
তুমি মেয়ে মানুষ হয় একটা মেয়ে মানুষকে বদনাম করা উচিত না তুমি কোন ধরনের মেয়ে নিজে দেখো নিজের ভালো মন্দ আগে নিজে জানুন বুঝতে পারছো পরের মন্দ কখনো বলবা না হাশরের মাঠে মেয়েরাই আগে জাহান্নামে যাবে,1,0,0,0,0,0
যেখানে সেখানে নষ্টামি করিস ,1,0,0,0,0,0
হাসু আপুর মতো ওর সব নেতারা গুদির নিচে ফেবিকল আঠা দিয়ে বসে আছেযতই মানুষ পদত্যাগ চায় না কেন এরা পদত্যাগ করবে না সবগুলো তো হাসু আপু চামচাগরু যেমন শিষ্যকে শিক্ষা দিয়েছে শিষ্য তো সেটাই শিখবেতবে এটা ঠিক হাসু আপু সহ সব নেতারা যদি অভিনয়ে কাজ করতো এতদিনে বাংলাদেশ বলিউড থেকে ভালো উন্নতমানের ছবি দেখতে পারবো    ,1,0,0,0,0,0
আপনার জামাই আপনাকে বিয়ে করছে কি হেন্ডেল মারার জন্য  মানে হাত মারার জন্য ,0,1,0,0,0,0
ছ্যাসড়ামি করার জায়গা পাও না ,1,0,0,0,0,0
ভিডিও ভালো হয়ছে এই সব কুত্তী ধের এরকম করতে হয়,1,0,0,0,0,0
এই ভিডিওটা বানানো জন্য তোর বউরে চুদি ,0,0,0,1,0,0
বউটাও একটা হারামি,1,0,0,0,0,0
এভাবে দেহের সব দেখায় নিজের শ্রী টাকে নষ্ট করিসনা ,0,1,0,0,0,0
হস্ত মৌথন ব্যক্তি স্বাধীনতা এতে বাধা দেবার করো আধিকার নাই ,0,0,0,0,0,1
আপানারাই অশালীন পোশাক পরে রাস্তায় বেরনোর সুযোগ করে দিয়েছেন,0,0,0,0,1,0
এবার বেরিয়ে এলো আসল রহস্য আমি কিন্তু অনেক কিছুই জানি কিন্তু বলতে চাই না,0,0,0,0,0,1
মেয়েটা অসুস্থ মেনটাল,1,0,0,0,0,0
জুতা দিয়ে বাভি দিব মাগী,0,0,0,1,0,0
আমি যেমন মজা পাইসি তুমিও পাইসো  পদের জন্য নিজের ইজ্জত দিসো,0,0,0,0,1,0
ওর শাশুড়ির ভোদা আর ওর বউয়ের ভোদা দিয়ে ওকে ধুকিয়ে দেওয়া হউক খানকির জামাই,0,0,0,1,0,0
তসলিমা নাসরিন পরীমনি হলেই চলবো দেখতে মেয়ে মনে হয় না লাগেই তো হিজরা হিজরা,1,0,0,0,0,0
আপু লিংকটা দেন,0,0,0,0,0,1
মেয়েটারও অনেক ঝামালা আছে  সে জানে ছেলেটা বিবাহিত  তাহলে কেন তুই সম্পর্কে জরাবি ,0,0,0,0,1,0
ব্রেসিয়ার পড়ে নাই সালি,1,0,0,0,0,0
তোর মতো মাগী টাকা দিয়ে চুদি মালায়েসিয়া,0,0,0,1,0,0
আমি জানি না একটা মেয়ে হয়ে অন্য একটা মেয়ের সংসার কিভাবে নষ্ট করে,0,0,0,0,1,0
মাগীরে সরকারি হিসেবে ঘোষণা করা হোক  সবাই মন মতো চুদবে  কোন টাকা দেওয়া লাগবে না ,0,0,0,1,0,0
মমোর মনে হচ্ছে চুদি,0,0,0,1,0,0
সমস্যা থাকতেই পারে তবে যাদের সমস্যা আছে তারা বিয়ে করবেন না   কিন্তু বিয়ে করে গলাবাজি করবেন না  ,0,0,0,0,0,1
বেয়াদপ মাইয়া,1,0,0,0,0,0
লোপা একটা কুক্তা বাচ্চা,1,0,0,0,0,0
খান্কি মাগির পোলা নামাজ নিয়া কথা বল্লে তোর মার সামায় তোরে ভইররা দিমু মাগীর পোলা,0,0,0,1,0,0
এই জন্যই বলে আফগানিস্তান ভালো জায়গা,0,1,0,0,0,0
মিন্নি বেস্বা তোকে বোমা হামলা করা হবে শালী নষ্ট মাগি,0,0,0,1,0,0
মেয়েদের ইনকাম করা একটি বিশাল সামাজিক বিস্ফোরণ ,0,1,0,0,0,0
এসব মেয়েদের সাথে এরকমটা হওয়াই উপযুক্ত,0,0,0,0,1,0
প্রাণকে নারী পূর্ণতা দেয়,0,0,0,0,0,1
আমার কাছেতো উপস্থাপিকার দূধ ভালো লাগছে  ,1,0,0,0,0,0
এই মাগী টা কে দেখলেমন টা কয় টা জুতা মারি,0,0,0,1,0,0
প্রথমেই মেয়েটাকে শাস্তি দিতে হবে নিজের মুখেই স্বীকার করল দেহ বিলিয়ে দিল,0,0,0,0,1,0
এই পাগল ছাগল নাইকা কোথায় যে পায়,1,0,0,0,0,0
সুতরাং ছোট পোশাক পড়া যাবে না,0,0,0,0,1,0
তুমি সুন্দর আর তাই তো তুমি নারী,0,0,0,0,0,1
কয়েকটা ফেমিনিস্টকে নিজের বৌ বানিয়ে ইচ্ছা মতো কেলাতে পারলে ভালো হতো,0,0,0,0,1,0
রাফাত ভাই এতো ভদ্রতা কেন সালার পোলাগো পশ্চাৎ দেশে আরো মারা উচিৎ ছিলো,0,0,0,1,0,0
নারীরাই যদি নারীদের সাথে সহমর্মিত পূর্ণ আচরণ করতো তাহলে    শতাংশ সমাজের অশান্তি চলে যেত  ,0,1,0,0,0,0
জুতা দিয়ে মারো মাগি কে,0,0,0,1,0,0
তোর মাকে চুদি তুই দেশে আশবি কবে,0,0,0,1,0,0
মেয়ে তোমার ডিসপ্লে মন্দ না চালিয়ে যাও,0,1,0,0,0,0
এত অভিযোগ পুরুষের প্রতি কেনো,0,0,0,0,0,1
একজন স্ত্রী সতীত্ব সম্বন্ধে কোন দোষ করিলে সে আর মুখ দেখাইতে পারে না,0,1,0,0,0,0
নারীদের উচিত সবসময় মুখ বুঝে সবকিছু সহ্য করা,0,0,0,0,1,0
এই পেজ দেখি প্রতিটা নিয়ম পোস্ট করে কোন লেভেলের জঘন্য পেজটা  ,0,1,0,0,0,0
কাছে পেলে জুতা দিয়ে মারতাম যে বাবা কে সমমান করে না তার মায়ের দিকে এতো চিন্তা ভাড় বোঝাচ্ছে শুয়োর বৌএর ভেড়া বৃদ্ধ বাবা কেউ এমন ভাবে মারে,1,0,0,0,0,0
অপু ভালো না খারাপ মেয়ে,1,0,0,0,0,0
ওই ছেলে তো মেয়েদের পেছনে মুখ লুকায় রাখে  ,0,1,0,0,0,0
বোরকা পরে চললে এমন হতনা,0,1,0,0,0,0
মাগি তোরে চোদবো সারা রাত কত,0,0,0,1,0,0
মেয়েটার চলা ফেরা এতোটা নোংরা ওর জন্মের ঠিক আছে কিনা কে জানে ,0,0,0,0,1,0
ভাই যার যা মন চায় করুক আপনে আপনেরে ঠিক রাখেন  হাস্যকর,0,0,0,0,0,1
পর্দা না করলে এমনটাই হবে,0,0,0,0,1,0
কয়েকটা নারীবাদীকে বৌ বানিয়ে ইচ্ছা মতো কেলাতে পারলে ভালো হতো,0,0,0,0,1,0
আমি ভাৱত থেকে বলছি  আমি নাস্তিক লোপা ৱহমানেৱ ফাঁসি চাই ,1,0,0,0,0,0
গ্রেফতার এর কারণ  কিছু মেয়েদের নষ্টামির বিরুদ্ধে কথা বলা  এইটা ঠিক না ,0,1,0,0,0,0
আধ্যাত্মিক মহিমা অর্জনের ক্ষেত্রেও নারীর কর্তব্য রয়েছে,0,0,0,0,0,1
নামেমাত্র শিক্ষিত সমাজ  কিন্তু আসল শিক্ষাটাই বাকি রয়ে যায় আমাদের ,0,0,0,0,0,1
আর একটু খোলামেলা পরে আসলে কিন্তু ইউরোপ দেখতে পেতাম,0,1,0,0,0,0
পরিচালকের মায়রে চুদি ড়িরকটারের মায়রে চুদি,0,0,0,1,0,0
নারী পুরুষের যৌন চাহিদা মিটানোই বিয়ের মুল কারণ,0,1,0,0,0,0
মেয়ে মানুষের এত স্বপ্ন দেখতে হয় না  ,0,1,0,0,0,0
নারীদের শরীর নরম হবার কারণে এরা বড্ড দূর্বল,0,1,0,0,0,0
মেয়ে মানুষ মেয়ে মানুষের মত থাকো,0,1,0,0,0,0
মেয়েরা প্রেমিকা হিসাবে সুন্দরী,0,0,0,0,0,1
এত ছোট জামা পরে ছেলেদেরকে উষ্কে না দিলেই হয়  শুধু শুধু রেপ হলে ছেলেদের দোষ ,0,1,0,0,0,0
জবাবে চুদবো,0,0,0,1,0,0
নস্টা মেয়েটা পরিবারের কাছ থেকে ভালো কিছু শেখেনি,0,0,0,0,1,0
বিবাহিত তো কি হইছে  একটা ছেলে চারটা বিবাহ করতে পারে,0,0,0,0,1,0
সাবিলা  এই বালটাকে দেখলেই মাথা হট হয়ে যায়   ,1,0,0,0,0,0
এ যা রোগ যাদের কুত্তার বাচ্চা মায়ের চুদমু কিন্তু মাদারচোদ মদ খাস শালা শুয়োরের বাচ্চা কুত্তার বাচ্চা তোকে দেশের সবাইকে দিয়ে করাবো,0,0,0,1,0,0
যে এই মহিলাকে বিয়ে তাকে নিশ্চয়ই কা পুরুষ হতে হবে,0,0,0,0,1,0
মেয়েরা মায়া করতে করতে ভালোবেসে ফেলে,0,0,0,0,0,1
শুনলাম নারী বিজ্ঞানীরা গোলাপি রঙের আইফোন বাজারে আনতে যাচ্ছে,0,0,0,0,1,0
রাস্তার মাইয়া,1,0,0,0,0,0
ছেলে কষ্ট করে টাকা ইনকাম করে টাকা তোমাকে খাওয়াবে আর তুমি মেয়ে হয়ে তার জন্য সকালে উঠতে পারবে না ,0,0,0,0,1,0
মা সবচেয়ে কাছের বন্ধু,0,0,0,0,0,1
এই মেয়ের এমন পোশাক এর শ্রী দেখে অর প্রতি কোনো মায়া নাই ,0,1,0,0,0,0
এই মাগি তো কুত্তার বাচ্চা অরে মনে হয় কুত্তা দিয়া চোদাইলেও ওর শান্তি হবে না,0,0,0,1,0,0
ববলিকে জুতা মারো যে অনের সংসার ভাংগে তাকে জুতা মারা দরকার,1,0,0,0,0,0
মিন্নি ধ্বষন করা হক বরগুনা বাসী মিন্নি ধ্বষন করে রাস্তার পতিতা বানানো হক ফাসি দিলে হাজার মিন্নি জন্ম হবে,0,0,0,1,0,0
আহ একবার যদি তারে পাইতাম ,0,0,0,0,0,1
তুমি মেয়ে পর্দা করলে এমন হতো না,0,1,0,0,0,0
নারীর নিরাপত্তা হচ্ছে হিজাব  ,0,1,0,0,0,0
খানকি মাগি তোর চামরা কাটিয়া লবন দেওয়া ঊচিত,0,0,0,1,0,0
মেয়েটির দেহ খুব মোটা  বিয়ে বোধ হয় কেউ করবে না ,0,1,0,0,0,0
ফালতু কথা বলবেন না  এগুলো বলে বলে নিজেকে বীরপুরুষ ও পুরুষতান্ত্রিক পুরুষ প্রমাণ করা বন্ধ করুন  নারী যদি না করে থাকতে পারে আপনারা পুরুষরা পারবেন না কেন,0,0,0,0,0,1
যারা অশ্লীল অশালীন পোষাক পরে অসৎ পুরুষদের অপকর্মে উৎসাহিত করছে  তাদের বিচার করা উচিত ,0,1,0,0,0,0
তুমি এরকম নষ্টা মেয়ে এটা আগে জানলে আমাদের ছেলের সাথে তোমাকে বিয়ে দিতাম না  ,0,1,0,0,0,0
চ্যালেন অাই ফালতু কিছু মূখ্য লোক নিয়া অাইচে মম মাগি তুই ঢেকে এনে অপমান মাসুূদ রানা অার দেখবনা অামার মন চায় মাসুদ রানা ছবিতে চাকর বানানো উচিত এদের কে দিয়ে,1,0,0,0,0,0
আসুক চোখের পানি তার পরেও কাঁদব না,0,0,0,0,0,1
উনারা জয়া আপার বিশাল ফ্যান তসলিমার নয়,0,0,0,0,0,1
পাগল মেয়ে,1,0,0,0,0,0
হিজাব কই  ,0,1,0,0,0,0
ঠিকই তো  যদি কিছু খারাপ হয় তখন বলবে পুরুষ মানুষ খারাপ আর রাত বিরাতে বাসায় ফিরবে ,0,1,0,0,0,0
নারী পুরুষের মাঝে সুস্পষ্ট প্রাকৃতিক ব্যবধান অনস্বীকার্য,0,0,0,0,0,1
মাগি তুর মারে চুদি,0,0,0,1,0,0
মাইয়া বদ,1,0,0,0,0,0
যারা অশালীন পোশাক এর কারণে ধর্ষিত হয়  তাদের ধর্ষনে বিচার না করলে সব এমনিতেই ঠিক হয়ে যাবে,0,0,0,0,1,0
এত ছেলেদের সাথে কিসের এত বন্ধুত্ব  ,0,1,0,0,0,0
অপু নাস্তিকের বাচ্চা,1,0,0,0,0,0
মেয়েদের কারও কাছে কিছু প্রমাণ করার নেই,0,0,0,0,0,1
এতই যখন বুঝেন তো জামাইয়ের ডিভোর্স খাইলেন কেমনে ,0,0,0,0,1,0
হেডার ঘরে হেডার মাইয়া বালের মাইয়া,1,0,0,0,0,0
আপনাকে দেখতে কেহ কি বাধ্য করেছে,0,0,0,0,0,1
অপু বিশ্বাস একটা বেইমান মেয়ে ছেলে,1,0,0,0,0,0
আরে গো মূর্খর দল  পশ্চিমা কালচার যদি এতো ধারন করিস তো পুরোপুরি ল্যাংটা হয়ে পারলে প্রতিবাদ করে দেখা,0,0,0,0,1,0
নারীরা স্লিভলেস ব্যাকলেস টপলেস হয়ে ঘোরাঘুরি করবে এটা তো পুরুষদের মানসিক চাপ সৃষ্টি করে,0,1,0,0,0,0
পর্দা করা হয় নাই তাই এমন সময় দেখতে হলো ,0,1,0,0,0,0
এমন কাসা মালই তো চাই,0,1,0,0,0,0
মেয়েটির উচিত ছিল বোরকা পরে বের হওয়া  যারা বোরকা ছারা বের হবে তাদের এমনই হবে  এতে ছেলেদের দোষ দিয়ে লাব নেই  ,0,0,0,0,1,0
পাগলী পাগলী থাকবে,1,0,0,0,0,0
চোদছে নি আরও ভালা কইরা ছুদে জান ওইলারে কানকি মাগি রে,0,0,0,1,0,0
আপনার মতো নারীবাদী মহিলা কে কোন হতভাগা কাপুরুষ বিয়ে করছে জাতি দেখতে চায়,0,0,0,0,1,0
নিজের মা কে ছোটকাল থেকে অনেক পুরুষের সাথে মিশতে দেখা মেয়েটা কি বুঝবে বাবার ভালবাসার,0,0,0,0,1,0
খানকি মাগি তোকে বার বার বারন কোরেছি এসব মিথ্যা খবর গুলি প্রচার কোরবি না এর পরেও যদি না সুনবি তাহলে তোর মুখে বাড়া ঢুকিয়ে দেব,0,0,0,1,0,0
মান ইজ্জত  থাকলে এই কাজটা কখনোই মেয়েটা করত না ভাইরাল হওয়ার ধান্দা ,0,1,0,0,0,0
এ মাগি তুই বাজারে বাজারে চোদা দে,0,0,0,1,0,0
তুর মেয়েকে চুদবো জামায়াত,0,0,0,1,0,0
তুমি যদি পদের জন্য দেহ দিতে পারো  সে ভোগ করার জন্য সামান্য কমিটমেন্ট দিতেই পারে ,0,0,0,0,1,0
ভালো হয়ে যাও মাসুদ,0,0,0,0,0,1
কি কমেন্ট করবো আর কারে দোষী মনে করবো অদ্ভুত দুনিয়া,0,0,0,0,0,1
স্বামীর অধিকার সংরক্ষণ করে নারীর সবচেয়ে বড় এবং প্রথম ধর্ম  ,0,1,0,0,0,0
মাগী টাকে রিমান্ডে নিয়ে বেগুন ভড়া হোক,0,0,0,1,0,0
এক হাতে তালি বাজে না,0,0,0,0,0,1
এইসব বালছাল মহিলারে নিয়া এইরকম পোস্ট আশা করিনি ,1,0,0,0,0,0
এই তীব্র শীতে পোশাকবিহীন এই আপুটিকে পোশাক দিয়ে সাহায্য করি ,0,1,0,0,0,0
খানকিমাগি এইটা কোন ভাসা খবর মুখে যুতা মারা দরকার শালিমাগি,0,0,0,1,0,0
ভাই এত সময় নেই এই সব নিউজ দেখার এগুলো দরকার নেই বলে চলে,0,0,0,0,0,1
আমি নিজে ও একজন অভিনেতা কিনতু মিথালা ভাল মানুষ না সে একজন হট মেয়ে হিসাবে মানায় সে বউ হিসাবে না ওকে,1,0,0,0,0,0
সমাজটা রসাতলে গেল এই মেয়েদের ঘর থেকে বের হতে দেওয়ার পর থেকেই ,0,1,0,0,0,0
তর মারে চুদার কবর কও,0,0,0,1,0,0
সালি বলে কি,1,0,0,0,0,0
আমি দর্শক তাই কিছু বললাম না,0,0,0,0,0,1
এই মাগিকে সিফাত কাকুর কাছে পাঠানো দরকার ওর পাছায় সিফাত কাকু ব্যাত দিয়া টস্ টস্ করে বাড়ি মারলে ওর দুধ ছোট হবে,0,0,0,1,0,0
মেয়েরা বেকুবই হয় নতুন কিছু না হা হা হা,0,1,0,0,0,0
আফা আপনি বিনা কাপড়ে থাকলেও আপনার সুথল দেহের কারণে কেউ সিডিউস হবেইনা ,0,1,0,0,0,0
একটা নারীর সৌন্দর্য সৌন্দর্য হলো তার  সংসার গোছানো তা না করে আপনি ভিডিও করে বেড়াচ্ছেন  ,0,1,0,0,0,0
ইনশাল্লাহ এই ধরনের সমস্যা শেষ হয়ে যাবে ,0,0,0,0,0,1
মুল কালপিট সাধনা   অফিস টাইম বাদে সাধনা বাড়ীতে থাকতো  সেই সময় জেলার মাস্তান বা টেন্ডার বাজ বা রাজনৈতিক লিডারদের সম্মুখীন হতেহতো  তাদের মন রক্ষার্থে ডিসিকে বলি দিল সাধনা  একটা কথা ভুলে গিয়েছিল ডিসি যে এসব নারীরা কাহাকে ভালবাসতে পারে না  এদেরকে পতিতা হিসাবে ভেবে নিতেহতো  সাধনার মত যার কোন পিতৃ মাতৃি পরিচয় নেই সামাজিকভাবে যে দুর্বল স্বামী ছাড়া   তাকে কি করে সাহেব বিশ্বাস করল এর আগে কত রাজনৈতিক নেতা মাস্তান বা সন্ত্রাসীদের সাথে দৈহিক মিলন ঘটায়েছে তা কে জানে র নিকট থেকে সাধনা যখন সুবিধা নিচ্ছে তখন তার ভাগতো অন্য কোথাও দিতেই হবে এটাই বাস্তবতা  এটাই নিয়ম   সেটা কল্পনা করতে পারেনি   সাধনা কে ব্লাকমেইল করেছে  দুর্ভাগ্য র  ,0,0,0,0,1,0
এসব নষ্টা বধুরা পরকীয়ার সময় বলবে যে স্বামী সময় দেয়না অথচ স্বামী থেকে নিজেকে সংযম রাখে ,0,1,0,0,0,0
এই পুরুষতান্ত্রিক সমাজের মেয়েদেরকে মানুষ হিসেবে দেখা হয় না,0,0,0,0,0,1
বাংলাদেশে দিন দিন আফগানিস্তানের মত হইয়ে যাচ্ছে,0,1,0,0,0,0
বুবলি একটা শয়তান,1,0,0,0,0,0
মৃত্যুর আগ পর্যন্ত যৌবন ধরে রাখার ব্যর্থ চেষ্টা ,0,1,0,0,0,0
কামলা বেডির মত লাগছে,1,0,0,0,0,0
পোশাকের স্বাধীনতার নামে পশ্চিমা সংস্কৃতি এখানে মারাতে আইসেন না  এটা একটা মুসলিম দেশ ,0,0,0,0,1,0
তোমার তো স্বাধীনতা আছে তাহলে তুমি নগ্ন হয়ে ঘুরে বেড়াও  ,0,1,0,0,0,0
কোটি টিপ ওয়ালীদের একাংশ   পরের বার লেংটা হয়ে মাঠে দেখতে চাই  ,1,0,0,0,0,0
মেয়েটা যদি শুরুতেই শালীন পোশাক পরতো তাহলে এমনটা হতোনা,0,1,0,0,0,0
তোর আবার কিসের চিন্তা দিনশেষে তো জামাই এরটাই খাবি ,0,1,0,0,0,0
দিন দিন আমাদের পাহাড়ি জাতিদের কত অপমানিত হতে হচ্ছে,0,0,0,0,0,1
চুতমারানি তোরে চুদী কুত্তা দিয়া চোদামু,0,0,0,1,0,0
আপনার মেয়ে এত ভালো হত যে একদম দুধে ধোয়া তুলসি পাতা তাহলে সবাই তাকে খারাপ বলতো না,0,0,0,0,1,0
এই ভুছকি নাকি রুপের রাজকন্যা   ইয়াক,1,0,0,0,0,0
মাগি তোর মুখে প্রসাব করি,0,0,0,1,0,0
মেয়েটাকে দেখলেই মেজাজ চাংগে ওঠে,1,0,0,0,0,0
নারী বোরকা ছাড়া বাইরে কেন  ঠিক কাজই করেছে,0,0,0,0,1,0
এটা নায়িকা না  কৃষকের চাষ করা হাইব্রিড লাউ,0,0,0,0,1,0
এই মাদারচুদ কানকীর বাচ্চা মদ খাইয়া তোর মারে তুই চুদ এই শুহরের বাচ্চা ট্যাবলেট খেয়ে তোর মেয়েরে তুই চুদ,0,0,0,1,0,0
এমন ইতর আর কুলাঙ্গার মেয়েকে ধারের কাছে ঘেষতে দেওয়া ঠিক নয়,1,0,0,0,0,0
যারা নিজের অনুভূতি টা কাউকে প্রকাশ করতে পারেনা তারাই একা,0,0,0,0,0,1
সালির আরো অধঃপতন হইবো,1,0,0,0,0,0
তোর মা কে সবাই চোদে,0,0,0,1,0,0
আজ মেয়ে বলে এত তাড়াতাড়ি প্রমোশন পেয়ে গেলে নিশ্চয়ই বসের সাথে কিছু চলছে,0,1,0,0,0,0
মেয়েদের সবদিক থেকেই শক্তি কম পুরুষদের তুলনায়  ,0,1,0,0,0,0
একটা সভ্য সমাজ কখনোই এটা চায় না যে কোন নারী ইচ্ছে মতো ছোট  টাইট ফিটিং জামা পড়ে ঘুরুক,0,1,0,0,0,0
ফ্রান্সে মহিলারা সাধারণত পুরুষের চেয়ে ১৯ শতাংশ কম বেতন পান,0,0,0,0,0,1
তোর মায়েরে চুদি,0,0,0,1,0,0
এরা প্রকাশ্যে পুরুষদের নিয়ে এসব নিয়ে বলে আর আড়ালে গিয়ে পুরুষ বন্ধুদের সাথে ই মজা ভোগ করে ,0,0,0,0,1,0
ওদের বংশগতো শিক্ষায় সমস্যা  এইজন্য তারা রাস্তায় নামছে,0,0,0,0,0,1
আরে এইটাই তো মনে হয় দেশের সেই অচল মালটা,0,1,0,0,0,0
তরে যদি পাইতাম তরে বাইগন দিয়ে সুদাতাম,0,0,0,1,0,0
তোর সোনালি টিভির মায়রে দালাল সাংবাদিক মিননির পেটে নয়নের বাচচা,1,0,0,0,0,0
জাহান্নামের বোবাকালা ফেরেশতা হ্যামার নিয়া অপেক্ষা করতাসে এসব বেশ্যা মাগিদের জন্য ,0,1,0,0,0,0
মাগী মাগী তরে চুদব,0,0,0,1,0,0
হাসিনার চামচাতো কথাই বলতে পারে না  ,1,0,0,0,0,0
এতই নারীবাদী সমাজ ব্যবস্থা করার ইচ্ছা থাকলে নারী নারী বিয়ে করে বংশবিস্তার করতে পারেন কিনা চেষ্টা করে দেখেন  ,0,1,0,0,0,0
আপনি বাইরে কেন আপনার জায়গাত রান্নাঘরে  ,0,1,0,0,0,0
এতে করে আপনাদের বা এসেক্সুয়ালদের কী লাভ,0,0,0,0,0,1
হ্যাঁ বুঝলাম রাজনীতি,0,0,0,0,0,1
সালা লুইচ্চা নাম্বার ওয়ান ,1,0,0,0,0,0
তিল কে তাল করা মিডিয়ায় কাজ,0,0,0,0,0,1
মমতার গুদে ভোট দিব,0,0,0,1,0,0
আপনার পর্দা প্রথা মেনে চলতে হবে,0,0,0,0,1,0
এই আবাল নাইকা কে দেখলে রাগ হই,1,0,0,0,0,0
ওই চুতমারানি মাগীকে ফাঁসি দেওয়া হোক,0,0,0,1,0,0
নারীদের সবসময় ঘরের ভিতর অবস্থান করতে হবে,0,0,0,0,1,0
বিনা পর্দায় থাকলে এমনই থাকে ,0,1,0,0,0,0
একটা মেয়ে ছেলেদের প্রশয় না দিলে কোন কিছু করা সম্ভব না আপু,0,0,0,0,1,0
আন্টি যেহেতু বয়স্ক ঠোটে লিপিস্টিক দেওয়া ছেড়ে দিয়ে বাইরে পর্দা করে চলবেন,0,0,0,0,1,0
চাকমা মেয়েদের ভাইরাল হবার ট্রেন্ড চলছে এখন  মেয়েগুলি বাজে হয়ে যাচ্ছে,0,1,0,0,0,0
জীবনে কোনোদিন কারো কাছ থেকে গোলাপ ফুল পাই নি,0,0,0,0,0,1
আল্লাহ আপনাদের হেদায়েত দান করুক আমিন ,0,0,0,0,0,1
যাও পাটখেতেই যাও  অবশ্য তোমার মা হ ওয়াও উচিত না  সন্তানরে তো আবাল বানায়া ছাড়বা,1,0,0,0,0,0
কি বলব হুজুরদেরকে নিয়ে জেলে রাখে আর তারা মুক্ত আকাশে উরে ,0,0,0,0,0,1
বাংলার সানি লিওন,1,0,0,0,0,0
পুরুষ উপস্থাপক মেয়েদের ব্রেস্ট নিয়ে নারী ডাক্তারকে জিজ্ঞেস করছে বাহ দেশ এগিয়ে যাচ্ছে ,0,1,0,0,0,0
আমাদের সমাজে নারীরাই ভবিষ্যতের মা,0,0,0,0,0,1
